category_key,category_name,root_category_name
193,Mens Denim Shorts,Clothing
194,Shop all Massagers,Health and Medicine
195,Fabric Tablecloths,Home
196,All Dog Gates,Pets
197,Mens Pajamas and Robes,Clothing
198,Mens Work Pants,Clothing
199,Maybelline Lip Makeup,Beauty
200,Womens Mid Calf Boots,Clothing
201,Mens Workout Shorts,Clothing
202,Womens Bras,Clothing
203,Mens Polo Shirts,Clothing
204,Womens Plus Thermal Sets,Clothing
205,Kids Clothing,Clothing
206,Red Hair Dye,Beauty
207,Mens Safety Shoes,Clothing
208,Bathroom Rugs & Bath Mats,Home
209,Quilts,Home
210,King Beds,Home
211,Men's Hiking Pants,Sports & Outdoors
212,Mens Graphic Tees,Clothing
213,Mens Regular Fit Jeans,Clothing
214,Football Pants,Sports & Outdoors
215,Native Deodorant,Personal Care
216,Mens Swimwear,Clothing
217,Fruit of the Loom Mens T-Shirts,Clothing
218,Hanes Mens Shorts,Clothing
219,All Toothpaste,Personal Care
220,Bralettes,Clothing
221,Shop All Patio Sets,Patio & Garden
222,Womens Panties,Clothing
223,Mens Briefs,Clothing
224,All Baseball Gear & Equipments,Sports & Outdoors
225,All Vitamins & Supplements,Health and Medicine
226,Duvet Covers,Home
227,Kids' Sheets,Home
228,Womens Shorts,Clothing
229,Mens Pullover Sweaters,Clothing
230,Metal Bed Frames,Home
231,Clean Beauty Makeup,Beauty
232,Girls Coats and Jackets,Clothing
233,"All Cat Feeders, Fountains, and Bowls",Pets
234,Young Adult Swimsuits,Clothing
235,All Dog Dental Care,Pets
236,Womens Swimsuit Cover-ups,Clothing
237,Mens Workout Clothing,Clothing
238,Low Support,Clothing
239,Premium Hair Styling Products,Premium Beauty
240,Wedding Tablecloths,Home
241,Whipped Toppings,Food
242,Arthritis pain relief,Health and Medicine
243,Shop all kids,Clothing
244,Hand Soaps,Personal Care
245,Stickers,Arts Crafts & Sewing
246,Mens Thermal Underwear,Clothing
247,Belts,Clothing
248,All Cat Food,Pets
249,Grains,Food
250,Pain Relief,Health and Medicine
251,Dinnerware & Serving Storage,Home
252,Big and Tall Pajama Bottoms,Clothing
253,Queen Beds,Home
254,Maternity Shorts,Clothing
255,Womens Plus Shorts,Clothing
256,Womens Cropped Jeans,Clothing
257,Toddler Boys Swim Trunks,Clothing
258,Microfiber Sheets,Home
259,Chocolate Bars,Food
260,Mens Pants,Clothing
261,All Cat Treats,Pets
262,Extracts & Flavoring,Food
263,NFL Flags,Patio & Garden
264,Plus Size Lingerie,Clothing
265,Womens Workwear Pants,Clothing
266,Pate Wet Cat Food,Pets
267,Meal Replacements,Health and Medicine
268,Kids' Quilts,Home
269,9 Drawer Dressers,Home
270,Frozen Sandwiches,Food
271,Kites,Toys
272,Big and Tall Shorts,Clothing
273,Toddler Sandals,Clothing
274,Garlic Pills,Health and Medicine
275,Toddler Dress Shoes,Clothing
276,Juniors Rompers & Jumpsuits,Clothing
277,Plus Size Underwire Bras,Clothing
278,Womens Skirts,Clothing
279,Plus Size Pajama Sets,Clothing
280,Shop All Doormats,Home
281,Auburn Hair Color,Beauty
282,Black Curtains,Home
283,All Dog Food,Pets
284,Womens Flat Sandals,Clothing
285,Teens' Comforters Sets,Home
286,Shop All Top-Rated Beauty,Beauty
287,Bodycon Dresses,Clothing
288,Mens Tuxedos,Clothing
289,Shop all Snack Bars,Food
290,Essie Nail Polish,Beauty
291,Whitening Toothpaste,Personal Care
292,Mens Hoodies,Clothing
293,Gemstone Engagement Rings,Jewelry
294,Womens Wide Leg Pants,Clothing
295,Mens Sweatpants,Clothing
296,Womens Flip Flops,Clothing
297,Mattress Toppers,Home
298,Anti-Fatigue Mats,Home
299,White Scrubs,Clothing
300,All Halloween Candy,Food
301,Queen Comforters,Home
302,Boys Comforter Sets,Home
303,Cleansing,Beauty
304,Fitted Sheets,Home
305,Bathroom Rugs,Home
306,Girls Birthday Outfits,Clothing
307,All Kids Costumes & Dress-Up,Toys
308,Womens Turtleneck Sweaters,Clothing
309,Mens Work Shirts,Clothing
310,Outdoor Tablecloths,Home
311,Boys Rash Guards and Swimsuit Sets,Clothing
312,Mens Hiking Sandals,Clothing
313,Wolverine Boots,Clothing
314,Ready to heat soup,Food
315,NYX Professional Eye Makeup,Beauty
316,Kids' Towels,Home
317,Jockey Underwear,Clothing
318,Room Darkening Curtains,Home
319,Mens Casual Sneakers,Clothing
320,Womens Bootie Slippers,Clothing
321,Boys Gloves & Mittens,Clothing
322,Boys Slip-ons,Clothing
323,Big and Tall Workout Shorts,Clothing
324,Womens Espadrille Sandals,Clothing
325,Womens Slip on Sneakers,Clothing
326,7 Piece Patio Dining Set,Patio & Garden
327,Premium Hair Color,Premium Beauty
328,Cars & SUV Toys,Toys
329,Mens Boots,Clothing
330,Womens Workout Shirts,Clothing
331,Womens Slide Slippers,Clothing
332,Women's Multivitamins,Health and Medicine
333,Snack Bars,Food
334,Womens Swimsuit Bottoms,Clothing
335,Pillow Shams,Home
336,Baby Itching & Rash Treatments,Baby
337,Sandals & Flip-Flops,Clothing
338,Depend for Women,Personal Care
339,Womens Swimsuits,Clothing
340,White Headboards,Home
341,Bikinis,Clothing
342,Baby Boys Dressy Outfit Sets,Clothing
343,Bathroom Cleaners,Household Essentials
344,High School Supplies,Seasonal
345,Big and Tall Polo Shirts,Clothing
346,Girls T Shirts,Clothing
347,Toddler Girls One-piece Swimsuits,Clothing
348,Kids Multi Packs,Clothing
349,Young Adult Dresses,Clothing
350,Plastic Outdoor Rugs,Patio & Garden
351,Mens Swim Trunks,Clothing
