final_price,available_for_delivery,available_for_pickup,brand,review_count,product_id,product_name,category_name,root_category_name,rating,initial_price,discount
55.0,True,False,Fresh Roasted Coffee,43,306465658,"Fresh Roasted Coffee, Indian Monsoon Water Decaf Coffee, Medium-Dark Roast Whole Bean, 80 oz",Medium Roast Coffee,Food,4.8,23.263749999999998,6.07625
16.0,True,False,FaithHeart,150,5809585615,FaithHeart Nordic Viking Vegvisir Pirate Compass Ring for Men Solid Rune Band Rings Black Stainless Steel Jewelry Punk Valknut Protection Amulet Gift for Rappers Size 7,Mens Rings,Jewelry,4.9,48.99,33.04
13.8,True,False,Scoop,10,5291664103,"Scoop Womens V-Neck Top with Volume Sleeves, Sizes XS-XXL",Womens Blouses,Clothing,3.7,29.0,15.17
9.84,True,True,SmartMouth,565,5062553620,"SmartMouth Original Activated Breath Rinse 16 oz, Adult",Dry Mouth Mouthwash,Personal Care,4.6,16.988,6.526000000000001
205.0,True,False,WestinTrends,31,469036214,"WestinTrends Julia 10 Ft Outdoor Patio Cantilever Umbrella with Base Included, Market Hanging Offset Umbrella with 4-Pieces Fillable Base Weight, Coffee",Full Bases,Patio & Garden,4.2,339.99,135.0
12.5,True,False,Xingqing,2,790957653,Newborn Baby Girl Summer Clothes Ribbed Strap Romper Bodysuit + Drawstring Shorts Pink 18-24 Months,Baby Girls Clothing,Clothing,4,15.89,3.44
355.0,True,False,UDPATIO,209,5295270812,"UDPATIO High Back Outdoor Dining Chairs Set of 4, All Weather Swivel Patio Chairs, Breathable Garden Outdoor Furniture for Backyard Deck",Shop All Patio Furniture,Patio & Garden,4.6,469.99,115.0
25.0,True,False,Exclusivo Mezcla,400,668480724,"Exclusivo Mezcla Bed Quilt Set Twin Size for All Seasons, Stitched Pattern Quilted Bedspread/ Bedding Set/ Coverlet with 1 Pillow sham, Lightweight and Soft, Turquoise",Bedding Sets,Home,4.5,65.98,40.99
19.8,True,False,Hanes,78,102593173,Hanes Long Sleeve Men T-Shirt 2-Pack Beefy-T Crewneck Soft Cotton Full Cut S-3XL,Mens Workout Shirts,Clothing,4.3,33.0,13.2
92.7,True,False,Amay's,4,2785607950,"Amay 100% Cotton 600-Thread Count 4-PCs Sheet Set Easily Fit upto 21 Inch Deep Pockets Solid California King, White",White Sheets,Home,5,102.99,10.3
9.99,True,False,Simply Silver Mouthwash,39,362341632,"Simply Silver Mint Breath Spray - For Dry Mouth and Freshening, All Natural, Fluoride Free, 2 Fl Oz",Oral Care Accessories,Personal Care,5,12.99,3.0
16.0,True,False,Demotime,1,5702523237,Demotime Men's Polo Shirts Casual Button-Down Shirts Short Sleeve Polo Shirts Blue L V Neck T Shirts Big and Tall Golf Solid Classic Stylish Tops,Golf Shirts,Sports & Outdoors,5,18.99,3.0
11.2,True,False,FindChic,19,3922793394,"FindChic Men Triple Moon Ring Goddess Fidget Ring,Balck Stress Relief Rotatable Anxiety Ring Size 7 to 14,Send Gift Box",Womens Rings,Jewelry,4.8,42.99,31.75
20.9,True,False,Casual Nights,215,831123723,Casual Nights Women's Zipper Front House Dress Sleeveless Seersucker Housecoat Duster Lounger,Womens Nightshirts & Gowns,Clothing,4.1,23.99,3.12
30.0,True,False,J. Adams,13,1017487270,"J. Adams Camila Sandals for Women, Square Open Toe Strappy Mid Block Heels, Elegant & Comfortable, Perfect for Weddings",Block Heels,Clothing,4.5,41.99,12.0
9.99,True,False,TheLovely,9,435835263,TheLovely Women & Plus Front and Back Reversible Spaghetti Strap Flowy Cami Tank Tops,Plus Size Activewear,Clothing,4.1,16.99,7.0
15.0,True,False,UVN,47,5053396247,UVN Sweatshirts for Women Square Neck Long Sleeve Shirts Casual Tunic Tops,Womens Sweatshirts & Hoodies,Clothing,4.1,18.99,4.0
54.9,True,False,Amay's,8,3099936296,Amay 800 Thread Count 100% Organic Cotton Grand King/Super King Size 1PC Flat Sheet (110x125 ) Royal Blue Striped,Colored Sheets,Home,5,61.0,6.1
76.0,True,False,VOUA,42,1727244137,"VOUA Electric Heated Mattress Pad, White King",Heating Mattress toppers,Home,4.6,115.0,39.01
570.0,True,False,Caroma,618,5439347407,"Caroma Electric Scooter for Adult, 30Miles Range&20Mph Power by 20""Off-Road Tire&Height Adjustable Seat, Foldable Scooter E Bike for Mountains, Snow, Road, Black",Adult Electric Scooters,Sports & Outdoors,4.7,909.99,340.0
43.0,True,False,LifeStride,1309,485354607,LifeStride Womens Suki Pumps - Medium & Wide Width,Stilettos,Clothing,4.5,47.99,5.0
41.9,True,False,Solaray,6,179112912,"Solaray Food Carotene, Vitamin A as Beta Carotene 25000IU | Carotenoids for Healthy Skin & Eyes, Antioxidant Activity & Immune System Support | 200ct",Beta Carotene,Health and Medicine,4.2,46.99,5.13
6.36,True,False,Ruimatai,16,640096014,Ruimatai Women's Plus Size Elastic Waist Guipure Lace Hem Solid Shorts,Plus Size Activewear,Clothing,1.8,10.35,3.99
32.8,True,False,Roaman's,153,1359948905,Roaman's Women's Plus Size Tall Complete Cotton Seamed Jean,Plus Size Jeans,Clothing,3.8,39.41,6.64
23.4,True,False,TheLovely,15,531529503,"Women & Plus Cotton High Waist Full Length Cotton Workout Leggings (BLACK/CHARCOAL, M)",Workout Leggings,Clothing,4.3,25.99,2.6
39.0,True,False,LifeStride,108,944207748,LifeStride Womens Deja Vu Skimmers - Medium & Wide Width,Ballet Flats,Clothing,3.8,57.99,19.0
15.3,True,False,Zenana,11,896931395,Zenana Women & Plus Basic Cotton Relaxed Fit V-Neck Long Sleeve Plain Active Casual T-ShirtTop(S-3X),Plus Size Tshirts,Clothing,4.2,16.99,1.7
22.5,True,False,Elegant Comfort,170,602315286,"Bed Sheet Set 4-Piece Bed Sheet set, Deep Pocket, HypoAllergenic - Queen Sage/Green",Bed Sheets,Home,4.5,25.0,2.5
25.0,True,False,Feather & Stitch New York,14,1097677016,Feather & Stitch 2 Piece Pillowcase Set Standard Size White 100% Cotton Damask Stripe Pillow Cases 500 Thread Count 20x30 Inches Ultra Soft Luxury Sateen Weave Bed Pillow Covers,Pillowcases,Home,4.8,31.24,6.25
141.0,True,False,Amay's,8,2200709686,Amay Grommet Top Blackout Curtain Panel White 120 inch Wide by 120 inch Long-1 Panel,Shop Curtains,Home,5,176.0,35.2
22.5,True,False,SGI bedding,14,264801526,"SGI Bedding 16 Inch Wrap Around Bed Skirt | Microfiber Bed Skirt | Fade Resistant, Wrinkle Free, Anti-static, Decorative, Extra Storage Space, Clutter-Free | Queen, Light Gray",Bed Skirts,Home,4.4,24.99,2.5
56.7,True,False,Amay's,1,3475370853,Amay 800TC Organic Cotton Alaska King Size Fitted Sheet ( 108X108 ) Fits Mattress Upto 12 -15 inches Light Blue Stripe,Cooling Sheets,Home,5,63.0,6.3
20.0,True,False,NELEUS,10,3795586746,"NELEUS Mens Running Tank Top Dry Fit Y-Back Athletic Workout Tank Tops 3 Pack,Purple+Pink+White,US Size L",Mens Workout Shirts,Clothing,4.9,22.45,2.46
35.0,True,False,Mellanni,3472,6126862324,"Mellanni Sheet Set Hotel Luxury Brushed Microfiber, Deep Pocket Sheet, 3 Piece Twin Ivory",Twin Sheets,Home,4.8,46.97,12.0
19.0,True,False,Ecetana,727,283514640,Ecetana Womens Walking Shoes Lightweight Breathable Mesh Air Cushion Sneakers,Womens Shoes,Clothing,4.6,35.99,17.0
14.0,True,False,UVPLove,204,5155882858,"Uvplove Women's Summer Loose Casual Short Sleeve Chiffon Top T-Shirt Blouse,Grey,M",Womens Blouses,Clothing,4.7,30.99,17.0
20.0,True,False,JWD,126,1892659971,JWD Womens Nightgown Short Sleeves Sleepwear Soft Loose Sleepshirt Scoopneck Pleated Nightshirt Loungewear,Womens Nightshirts & Gowns,Clothing,4.7,38.99,19.0
16.0,True,False,Marvel,12,1426167428,Men's Marvel Deadpool No One Cares  Graphic Tee Black 1X Big Tall,Big and Tall Graphic Tees,Clothing,4.3,18.99,3.0
5.79,True,False,PNTUTB,1,1792864118,"Pntutb Womens Plus Size Clearance,Women's Printed Yoga Fitness Leggings Running Gym Stretch Sports Pants Trousers",Womens Leggings,Clothing,3,6.59,0.8
24.0,True,False,MINTREUS,1,6918363302,MINTREUS Women's Pajama Set Knit Soft Lounge Set Lightweight Sleepwear Two Piece Matching Outfits Set,Womens Pajama Sets,Clothing,5,45.99,22.0
9.3,True,False,PiccoCasa,1,1807242420,"PiccoCasa Soft 190GSM Brushed Polyester 16"" Deep Pocket Fitted Sheets Black Full",Bed Sheets,Home,4,13.29,3.99
9.94,True,False,Zenana,107,751510659,Zenana Womens's Cotton Stretch Mid Thigh Length Leggings Fitness Sport Biker Shorts,Womens Athletic Shorts,Clothing,4.6,12.99,3.05
16.7,True,False,Zuke's,758,34203165,"Zuke's Mini Naturals Soft Dog Training Treats, Duck Flavor, Tender Dog Chew Snacks, 16 oz Pouch",Pets Subscription,Pets,4.1,57.71888888888889,17.816666666666666
64.9,True,False,Ralph Lauren,60,25997723,Polo Double Black Eau De Toilette Spray 4.2 Oz / 125 Ml,Premium Cologne for Men,Premium Beauty,3.1,84.0,19.1
6.13,True,False,Reebok,12,5219876777,"Reebok Boys Power Blast Muscle Active Tank, Sizes 4-18",Boys Athletic Shirts,Clothing,5,12.0,5.87
16.0,True,False,Russell Athletic,16,1063134991,"Russell Athletic Mens Lux Tech Fleece Pants, Sizes S-XL",Mens Workout Pants,Clothing,4.3,48.0,32.01
14.6,True,False,Hanes,1021,696459227,"Hanes Men's and Big Men's Beefy Tee with Short Sleeves, 2-Pack, Sizes S-6XL",Hanes Mens T-Shirts,Clothing,4.1,29.0,14.39
11.4,True,False,Clubman Pinaud,107,730250943,Clubman Pinaud Styptic Pencil,Aftershaves,Personal Care,4.7,13.99,2.55
25.0,True,False,MUK LUKS,3,5115609628,"Muk Luks Soft Knit Matching Family Pajama Set , Grey Fairisle/Dogs, T/3X",Womens Pajama Sets,Clothing,3.7,27.99,3.0
18.5,True,False,RAW X,1,5028919789,"RAW X  Toddler Boy's RawX Rip and Repair Jeans, Dark Blue, 2T",Mens Jeans,Clothing,5,20.99,2.5
26.6,True,False,Roaman's,1156,5422818479,Roaman's Women's Plus Size Soft Knit Bermuda Short,Womens Athletic Shorts,Clothing,4.3,31.1,4.46
40.0,True,False,LifeStride,95,1589505386,LifeStride Womens Minimalist Pumps - Medium & Wide Width,Block Heels,Clothing,4.3,47.99,8.0
23.0,True,False,Clara Clark,13105,373855792,"Clara Clark Twin Size Deep Pocket 3 Piece Bed Sheets Set, 1800 Series Hotel Luxury Soft Microfiber, Brown",Sheet Sets,Home,4.6,54.99,32.03
20.0,True,False,COMFREE,49,225313738,COMFREE Women's Camisole with Built in Bra Plus Size Tank Top Cami Flowy Casual Tops with Adjustable Strap (S-4XL),Plus Size Tops,Clothing,4.7,39.99,20.0
20.0,True,False,Ibtom Castle,1,1231760315,IBTOM CASTLE Baby Girls Formal Dress Lace Bowknot Baptism Embroidery Princess Birthday Wedding Flower Tutu Gown with Headwear 3-6 Months Red,Baby Girls Casual Dresses,Clothing,5,29.99,10.0
16.2,True,False,Zenana,27,1900702698,Zenana Women & Plus Relaxed Fit Scoop Neck Sleeveless Round Hem Blouse Tank Top,Plus Size Activewear,Clothing,3.6,17.99,1.8
20.0,True,False,ZBAR,27,422458903,Zbar - Chocolate Chip and Iced Oatmeal Cookie - Variety Pack - Soft Baked Whole Grain Snack Bars - USDA Organic - Non-GMO - Plant-Based - 1.27 oz. (24 Count),Lunchbox favorites,Food,4.4,23.263749999999998,6.07625
64.0,True,False,edx,3293,5150469476,"EDX 10 Drawer Dresser, Wide Chest Of Drawers Nightstand Storage Tower Storage Dresser Fabric Dresser With Wood Top for Living Room, Bedroom, Hallway, Nursery, Grey",Gray Dressers,Home,4.4,104.99,41.0
37.2,True,False,Vanity Fair,821,674437651,Vanity Fair Womens Beauty Back Minimizer Bra Style-76-080,Underwire Bras,Clothing,4.5,44.0,6.81
50.0,True,False,HISEA,477,232510830,HISEA Women's Rubber Rain Boots Waterproof Insulated Garden Shoes Outdoor Hunting Working Riding Muck Neoprene Boots Mid Calf,Womens Over the Knee Boots,Clothing,4.8,69.99,20.0
48.0,True,False,Mellanni,544,247655086,"Mellanni Bedspread Coverlet Set Light Gray - Reversible Bedding Cover - Oversized Quilt Set, 2 Piece, Twin / Twin XL, Light Gray",Quilt Sets,Home,4.8,68.97,21.0
12.1,True,False,ChainsHouse,50,5684704635,"ChainsHouse Snake Ring for Women/Men,Stainless Steel Retro Punk Gothic Jewelry Antique Octopus/Serpent Reptile Rings for Holiday Party Jewelry Gift ,Size 7-14(Box)",Anniversary Rings,Jewelry,5,40.28,28.15
25.0,True,False,Moa Collection,1,6045904134,Women's Knee-length Color Block Dress with Pockets,Dresses,Clothing,5,29.95,4.96
51.3,True,False,Amay's,6,1808782059,"Amay 800TC Organic Cotton Queen Size Fitted Sheet ( 60X80 ) Fits Mattress Upto 12-15 inches, Gold Solid",Cooling Sheets,Home,5,57.0,5.7
78.4,True,False,Amay's,3,3820834403,Amay Blackout Grommet Curtain Panel Beige 42 Inch Wide by 108 Inch Long- 1Panel,Shop Curtains,Home,5,98.0,19.6
89.1,True,False,Carve Designs,523,588404711,"Carve Designs Carson Jean - Womens, Favorite Fade, 8",Womens Boyfriend Jeans,Clothing,4.6,99.0,9.9
50.0,True,False,LifeStride,302,839659160,LifeStride Womens Impact Ballet Flats - Various Widths Available,Womens Casual Shoes,Clothing,4.5,69.99,20.0
22.0,True,False,Cocokind,855,3440558193,"Cocokind Vitamin C Glow Serum for Bright, Even Skin Tone, All Skin Types, 1 oz",Cocokind,Beauty,4.7,28.814999999999998,11.002
55.0,True,False,NINA NEW YORK,20,268590697,NINA NEW YORK Womens Silver Goring Embellished Nadette Round Toe Wedge Slip On Dress Sandals Shoes 5.5 M,Womens Casual Shoes,Clothing,4.8,114.0,59.02
30.0,True,False,Feancey,1,5209344136,"Men Sherpa Lined Hooded Jacket,Men's Flannel Plaid Shirts Fleece Fuzzy Button Down Long Sleeve Winter Thermal Hoodies Jackets with Pockets",Men's Character Shop,Clothing,5,35.19,5.2
33.0,True,False,Bare Home,663,230846860,"Bare Home Plush Sherpa Bed Blanket - Fluffy & Soft - Reversible - Lightweight - Twin/Twin XL, Buffalo Plaid - White/Black",Shop All Teens' Bedding,Home,4.7,44.99,12.0
20.0,True,False,SANMADROLA,260,5260887729,"Sanmadrola Waterproof & Reversible Dog Bed Cover Pet Blanket Sofa, Couch Cover Mattress Protector Furniture Protector for Dog, Pet, Cat 30''x70'' Gray Blue",Couch Covers,Home,4.7,34.99,15.0
13.0,True,False,CARCOS,51,887578061,CARCOS Women's Cami With Built-In Shelf Bra Plus Stretch with Adjustable Spaghetti Straps Basic Undershirt Layer Tank Top Black-L,Womens Tank Tops,Clothing,4.3,14.99,2.0
24.8,True,False,Vanity Fair,22,802163708,"Vanity Fair Women's Flattering Lace Hi-Cut Underwear, 3 Pack",Briefs,Clothing,4.5,36.0,11.18
92.8,True,False,Amay's,13,3723312924,Amay Grommet Top Blackout Curtain Panel Greyish White 60 Inch Wide by 120 Inch Long-1Panel,Shop Curtains,Home,5,116.0,23.2
9.99,True,False,Hanes,582,680639889,Hanes Men's Perfect-T Tri-Blend Short Sleeve T-Shirt Solid Navy M,Mens Workout Shirts,Clothing,4.3,14.0,4.01
19.8,True,False,Made by Johnny,241,945882097,Made by Johnny Women's Chic Palazzo Lounge Pants S HEATHER_DARK_GREY,Womens Pants,Clothing,3.8,21.95,2.2
25.0,True,False,Luxe Weavers,177,3511393855,"Luxe Weavers Modern Abstract Beige 2x3 Area Rug, Stain Resistant Carpet",All Area Rugs,Home,4.6,30.0,5.0
20.0,True,False,JWD,196,1829450989,JWD Plus Size Tops For Women Lace Sleeve Blouse Waffle Knit Long Sleeve Shirts Navy Blue-1X,Plus Size Tops,Clothing,4.5,25.99,6.0
51.3,True,False,Amay's,6,2608501628,"Amay 800TC Organic Cotton Twin Size Fitted Sheet ( 39X75 ) Fits Mattress Upto 12-15 inches, Purple Solid",Cooling Sheets,Home,5,57.0,5.7
25.0,True,False,LETDIOSTO,470,939136581,LETDIOSTO Women's Plus Size Tops Short Sleeve Shirts Lace Pleated Tunic Causal Tee Blouses M-4XL,Plus Size Tops,Clothing,4.3,43.99,19.0
33.3,True,False,V8 Juice,62,885092913,"V8 +Energy Black Cherry and Pomegranate Blueberry Juice Energy Drinks, 8 fl oz Can, 24 Count (4 Packs of 6)",Campbell's,Food,4.6,37.1,3.8
13.0,True,False,ChainsProMax,158,1543169305,ChainsProMax Mens Rings Stainless Steel Size 13 Cuban Curb Link Ring Black Rings for Men,Mens Jewelry,Jewelry,4.8,64.99,52.0
28.8,True,False,PARFAIT,39,432928663,PARFAIT Women's Adriana Wire-Free Lace Bralette - Black - 36D,Wireless Bras,Clothing,4.5,50.0,21.2
56.2,True,False,Linum Home Textiles,4,152355819,Authentic Hotel and Spa  Unisex Navy Blue Turkish Cotton Terry Bath Robe with White Block Monogram Z S/M,Mens Robes,Clothing,4.5,63.74,7.5
30.0,True,False,HIG,129,412531616,All Season Camel 3 Piece Twin Size Down Alternative Comforter Set with Corner Tabs,Comforter Sets,Home,4.4,35.99,6.0
60.0,True,False,JUSTLET,1530,177709330,"JUSTLET Heated Mattress Pad Twin Size,Electric Mattress Pad,Electric Bed Warmer with 9 Heated Settings Controller & 1-9 Hours Auto Shut Off, Machine Washable, White",Heating Mattress toppers,Home,4.5,109.99,50.0
33.4,True,False,Balanceuticals,2,27230944,"Health King HernEase Tea, 60 Ct",Dietary supplements,Health and Medicine,3,43.99,10.56
4.43,True,True,Old Bay,438,10308385,"OLD BAY Gluten Free Classic Seafood Seasoning, 6 oz Can",Seasoning mixes & blends,Food,4.5,23.263749999999998,6.07625
92.7,True,False,Amay's,4,2155265261,"Amay 100% Cotton 600-Thread Count 4-PCs Sheet Set Easily Fit upto 21 Inch Deep Pockets Solid King, Light Blue",Colored Sheets,Home,5,102.99,10.3
50.0,True,False,LifeStride,61,821774391,LifeStride Womens Zee Loafers - Medium & Wide Width,Womens Casual Shoes,Clothing,4.6,69.99,20.0
15.6,True,False,Guy Harvey,3,753681550,Guy Harvey Mens Core Tuna Short Sleeve T-Shirt,Mens T-Shirts,Clothing,5,26.0,10.4
23.0,True,False,Ibtom Castle,3,1446529388,IBTOM CASTLE Flower Girl Tutu Tulle Dress Little Big Princess Wedding Bridesmaid Party Communion Formal Short Gown for Kids 6-12 Months Blue,Baby Girls Casual Dresses,Clothing,3.7,29.62,6.63
39.6,True,False,Dee's Collection,1,1210385172,"Short Queen Size Tailored Drop Multi Ruffled Solid Bed Skirt with Adjustable Elastic Belt Microfiber Fabric Fade & Wrinkle Resistant Bed Frame Cover Easy to Fit & Care (15 Inch Drop, Moss)",Toddler Bedding Sets & Sheets,Baby,5,43.99,4.4
33.0,True,False,Yoyomax,454,354688867,"Yoyomax Office Chair, Ergonomic Home Office Desk Chairs, Computer Chair with Comfortable Armrests, Mesh Desk Chairs with Wheels, Black",Desk Chairs,Home,4.6,127.99,95.0
15.0,True,False,Disney Pixar Cars,318,5379906696,"Cars Kids 17"" Light Up Lightning McQueen Backpack, Multi-Color",School Backpacks,Clothing,4.8,16.94,1.96
18.0,True,False,Fantaslook,63,5043424192,Fantaslook V Neck Sweatshirts for Women Casual Long Sleeve Tops Oversized Sweatshirt With Pockets,Young Adult Sweatshirts & Hoodies,Clothing,4.3,69.99,52.0
15.0,True,False,Asklazy,70,5202943775,"Asklazy Women's Summer Sleeveless Chiffon Blouse Business Casual Tank Flowy Tops for Women,US Size,D Red,L",Womens Blouses,Clothing,4.6,42.99,28.0
30.0,True,False,Whale Flotilla,54,5075703391,"Whale Flotilla Faux Fur Sherpa King Size Blanket, Cozy Reversible Fuzzy Fluffy Plush Blankets with Stylish for Winter Fall, Warm and Soft, 90x104 Inch, Emerald Green",Bed Blankets,Home,4.7,39.99,10.0
62.7,True,False,Roaman's,92,913982677,Roaman's Women's Plus Size Invisible Stretch Two-Tone Embroidered Bootcut Jeans,Plus Size Jeans,Clothing,4.6,72.52,9.78
25.2,True,False,Dee's Collection,2,1986789930,"Twin XL Size Tailored Drop Wrap Around Solid Bed Skirt with Adjustable Elastic Belt Microfiber Fabric Fade & Wrinkle Resistant Bed Frame Cover Easy to Fit & Care (14 Inch Drop, Ivory)",Toddler Bedding Sets & Sheets,Baby,4,27.99,2.8
7.96,False,False,Purex,561,22374157,"Purex Sta Flo Liquid Starch, Great for Crafts, Concentrated, 64 Ounce",Static Guard,Household Essentials,4.7,17.61,9.65
22.1,True,False,Independent Trading Co.,15,907847604,"Independent Trading Co. Womens Lightweight Cropped Hooded Sweatshirt, XS, Blush",Womens Activewear,Clothing,4.1,38.6,16.5
9.79,True,False,Duck Brand,1796,48812370,"Duck Clean Release .94 in. x 60 yd. Blue Painter's Tape, 4 Rolls",Painter's Tape,Home Improvement,4.4,10.88,1.09
17.7,True,False,Sofra,27,370320502,"Sofra Women & Plus Cotton High Waist Full Length Cotton Workout Leggings (Burgundy/Olive, S)",Workout Leggings,Clothing,4.4,23.13,5.43
20.0,True,False,VERABENDI,129,528993905,VERABENDI Womens Clothes Plus Size Tops 3/4 Sleeve Shirts Button Dressy V-Neck Tunic Blouse (M-4XL),Womens Blouses,Clothing,4.5,22.99,3.0
